Type,Description,Amount,Date,Status
,NL Hold'em - ?100 CoinPoker Kickoff,699.66 USDT,2025-06-27 17:28:51 GMT-3 | 368270688,Approved
,NL Hold'em - ?100 CoinMasters - SHIBA,0 USDT,2025-06-27 17:22:31 GMT-3 | 368265112,Approved
,NL Hold'em - ?50 Friday Main Event,0 USDT,2025-06-27 16:16:01 GMT-3 | 368205216,Approved
,NL Hold'em - ?25 Hyper,0 USDT,2025-06-27 16:12:53 GMT-3 | 368202502,Approved
,NL Hold'em - ?25 Mini CoinMasters - SHIBA,0 USDT,2025-06-27 15:53:16 GMT-3 | 368185643,Approved
,NL Hold'em - ?100 CoinMasters - SHIBA,-100 USDT,2025-06-27 15:20:04 GMT-3 | 368157879,Approved
,NL Hold'em - ?100 CoinMasters - SHIBA,0 USDT,2025-06-27 15:19:59 GMT-3 | 368157791,Approved
,NL Hold'em - ?50 Friday Main Event,-50 USDT,2025-06-27 15:17:12 GMT-3 | 368155282,Approved
,NL Hold'em - ?25 Hyper,-25 USDT,2025-06-27 15:13:29 GMT-3 | 368151940,Approved
,NL Hold'em - ?25 Mini CoinMasters - SHIBA,-25 USDT,2025-06-27 15:04:38 GMT-3 | 368142878,Approved
,NL Hold'em - ?100 CoinMasters - SHIBA,-100 USDT,2025-06-27 14:34:58 GMT-3 | 368116713,Approved
,NL Hold'em - ?25 Deepstack Turbo,85.56 USDT,2025-06-27 14:00:33 GMT-3 | 368091249,Approved
,NL Hold'em - ?25 CoinPoker Mini Kickoff,0 USDT,2025-06-27 13:51:34 GMT-3 | 368085550,Approved
,NL Hold'em - ?50 Deepstack Turbo,50 USDT,2025-06-27 13:26:07 GMT-3 | 368064723,Approved
,NL Hold'em - ?25 Classic,390 USDT,2025-06-27 13:25:43 GMT-3 | 368064360,Approved
,NL Hold'em - ?50 Deepstack Turbo,-50 USDT,2025-06-27 12:48:53 GMT-3 | 368035274,Approved
,NL Hold'em - ?50 Classic,0 USDT,2025-06-27 12:47:53 GMT-3 | 368034353,Approved
,NL Hold'em - ?100 CoinPoker Kickoff,-100 USDT,2025-06-27 12:34:40 GMT-3 | 368022622,Approved
,NL Hold'em - ?25 CoinPoker Mini Kickoff,-25 USDT,2025-06-27 12:07:47 GMT-3 | 368000207,Approved
,NL Hold'em - ?50 Classic,-50 USDT,2025-06-27 11:13:24 GMT-3 | 367958428,Approved
,MTT fee conversion deposit,0.000000702119618407 USDT,2025-06-27 11:13:07 GMT-3 | 367958172,Approved
,MTT fee conversion withdrawal,-0.000013086794624646 CHP,2025-06-27 11:13:07 GMT-3 | 367958170,Approved
,NL Hold'em - ?25 Deepstack,0 USDT,2025-06-27 11:13:07 GMT-3 | 367958169,Approved
,NL Hold'em - ?25 Deepstack Turbo,-25 USDT,2025-06-27 10:49:15 GMT-3 | 367940405,Approved
