Rede, Jogador, ID do Jogo, Stake, Data, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado, Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas
WPN,"HiThxBye",33600945,50.0,2025-06-15 20:04,1127,5.0,H,No Limit,Normal,-50.0,776,Multi-Entry,USD,,34453,8,,"Mini Special - $75,000 GTD",522
WPN,"HiThxBye",33578384,60.0,2025-06-15 19:54,199,6.0,H,No Limit,Normal,-7.01,170,Bounty,USD,,19447,8,52.99,"Route 66 MB - $100,000 GTD [Day 2]",
WPN,"HiThxBye",33599917,100.0,2025-06-15 19:34,1688,9.0,H,No Limit,Normal,-209.0,1546,Multi-Entry,USD,1,37769,8,,"The Sunday Moneymaker - $250,000 GTD",1073
WPN,"HiThxBye",33600748,30.0,2025-06-15 18:41,1446,3.0,H,No Limit,Normal,-63.0,921,Multi-Entry,USD,1,36667,8,,"Drew's Derby - $60,000 GTD",634
WPN,"HiThxBye",33600747,60.0,2025-06-15 18:11,1306,6.0,H,No Limit,Normal,-45.0,1203,Bounty Multi-Entry,USD,,34868,8,15.0,"PKO Major Mash Up - $100,000 GTD",452
WPN,"HiThxBye",33578421,60.0,2025-06-15 10:48,110,6.0,H,No Limit,Normal,6.0,2,Satellite Bounty Multi-Entry,USD,,13434,8,66.0,"Route 66 MB - $100,000 GTD [Flight]",20
WPN,"HiThxBye",33578430,60.0,2025-06-13 14:48,40,6.0,H,No Limit,Normal,-126.0,35,Satellite Bounty Multi-Entry,USD,1,13408,8,,"Route 66 MB - $100,000 GTD [Flight]",16
WPN,"HiThxBye",33597901,50.0,2025-06-13 14:24,153,5.0,H,No Limit,Normal,-50.0,127,Multi-Entry,USD,,22784,8,,"$10,000 GTD",81
WPN,"HiThxBye",33595320,50.0,2025-06-12 16:10,380,5.0,H,No Limit,Normal,-105.0,366,Multi-Entry,USD,1,31200,8,,"$30,000 GTD",191
WPN,"HiThxBye",33581309,100.0,2025-06-08 20:48,1877,9.0,H,No Limit,Normal,-100.0,420,Multi-Entry,USD,,42184,8,,"The Sunday Moneymaker - $250,000 GTD",1210
WPN,"HiThxBye",33581611,50.0,2025-06-08 19:30,1167,5.0,H,No Limit,Normal,-105.0,919,Multi-Entry,USD,1,32432,8,,"Mini Special - $75,000 GTD",521
WPN,"HiThxBye",33581404,30.0,2025-06-08 18:35,1489,3.0,H,No Limit,Normal,-63.0,629,Multi-Entry,USD,1,36337,8,,"Drew's Derby - $60,000 GTD",720
