Rede, Jogador, ID do Jogo, Stake, Data, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado, Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas
PokerStars,"Docari Agnol",3895672832,40.0,2025-06-29 18:33,2460,4.0,H,No Limit,Normal,-40.0,1205,Bounty Multi-Entry,USD,,36195,8,,"Episode 13 [Red Lotus, Mystery Bounty], $100K Gtd",748
PokerStars,"Docari Agnol",3894672597,40.0,2025-06-08 17:49,1525,4.0,H,No Limit,Normal,-40.0,1229,Bounty Multi-Entry,USD,,33547,8,,"Red Lotus [Mystery Bounty] $44, $80K Gtd",463
PokerStars,"Docari Agnol",3890321401,40.0,2025-05-25 18:46,2091,4.0,H,No Limit,Normal,-84.0,1736,Bounty Multi-Entry,USD,1,37002,8,,"Red Lotus [Mystery Bounty] $44, $100K Gtd",627
PokerStars,"Docari Agnol",3888395328,40.0,2025-05-18 18:03,2092,4.0,H,No Limit,Normal,-40.0,870,Bounty Multi-Entry,USD,,34400,8,,"Red Lotus [Mystery Bounty] $44, $100K Gtd",579
PokerStars,"Docari Agnol",3885362550,40.0,2025-05-11 17:46,1776,4.0,H,No Limit,Normal,-40.0,732,Bounty Multi-Entry,USD,,33411,8,,"Red Lotus [Mystery Bounty] $44, $100K Gtd",516
PokerStars,"Docari Agnol",3882701903,40.0,2025-05-04 18:27,2332,4.0,H,No Limit,Normal,356.32,62,Bounty Multi-Entry,USD,1,35869,8,440.32,"Red Lotus [Mystery Bounty] $44, $100K Gtd",696
PokerStars,"Docari Agnol",3880165246,40.0,2025-04-27 18:19,1973,4.0,H,No Limit,Normal,-40.0,1197,Bounty Multi-Entry,USD,,35387,8,,"Red Lotus [Mystery Bounty] $44, $100K Gtd",577
PokerStars,"Docari Agnol",3875822980,40.0,2025-04-13 18:19,2273,4.0,H,No Limit,Normal,-84.0,1123,Bounty Multi-Entry,USD,1,35365,8,,"Red Lotus [Mystery Bounty] $44, $100K Gtd",755
PokerStars,"Docari Agnol",3873489528,40.0,2025-04-06 18:08,2670,4.0,H,No Limit,Normal,-40.0,761,Bounty Multi-Entry,USD,,34737,8,,"Red Lotus [Mystery Bounty] $44, $125K Gtd",810
PokerStars,"Docari Agnol",3871137200,40.0,2025-03-30 18:12,1918,4.0,H,No Limit,Normal,-84.0,1278,Bounty Multi-Entry,USD,1,34975,8,,"Red Lotus [Mystery Bounty] $44, $100K Gtd",592
PokerStars,"Docari Agnol",3868795190,40.0,2025-03-23 18:23,1981,4.0,H,No Limit,Normal,-84.0,1601,Bounty Multi-Entry,USD,1,35629,8,,"Red Lotus [Mystery Bounty] $44, $100K Gtd",524
PokerStars,"Docari Agnol",3866282439,40.0,2025-03-16 18:52,2186,4.0,H,No Limit,Normal,-25.62,326,Bounty Multi-Entry,USD,1,37379,8,58.38,"Red Lotus [Mystery Bounty] $44, $100K Gtd",669
PokerStars,"Docari Agnol",3863783051,40.0,2025-03-09 18:24,2224,4.0,H,No Limit,Normal,-40.0,1190,Bounty Multi-Entry,USD,,35677,8,,"Red Lotus [Mystery Bounty] $44, $125K Gtd",658
PokerStars,"Docari Agnol",3861391777,40.0,2025-03-02 18:17,2537,4.0,H,No Limit,Normal,-84.0,2368,Bounty Multi-Entry,USD,1,35263,8,,"Red Lotus [Mystery Bounty] $44, $125K Gtd",743
PokerStars,"Docari Agnol",3858857190,40.0,2025-02-23 18:53,2481,4.0,H,No Limit,Normal,18.98,370,Bounty Multi-Entry,USD,,37391,8,58.98,"Red Lotus [Mystery Bounty] $44, $125K Gtd",701
PokerStars,"Docari Agnol",3856223734,40.0,2025-02-16 18:41,2413,4.0,H,No Limit,Normal,-84.0,842,Bounty Multi-Entry,USD,1,36682,8,,"Red Lotus [Mystery Bounty] $44, $125K Gtd",731
PokerStars,"Docari Agnol",3853567752,40.0,2025-02-09 19:04,2466,4.0,H,No Limit,Normal,-40.0,1048,Bounty Multi-Entry,USD,,38041,8,,"Red Lotus [Mystery Bounty] $44, $125K Gtd",698
